1	92131841	92132615	inv1_004
1	197756784	197757982	inv1_008
2	33764554	33765272	inv2_002
2	139004949	139009203	inv2_013
3	162545362	162547641	inv3_003
6	31009222	31010095	inv6_002
6	130848198	130852318	inv6_006
7	31586765	31592019	inv7_003
7	54302450	54376389	inv7_005
7	70426185	70438879	inv7_011
7	151010030	151012107	inv7_014
8	8055789	11980649	inv8_001
11	41162296	41167044	inv11_001
11	66018563	66019946	inv11_004
12	47290470	47309756	inv12_004
12	71532784	71533816	inv12_006
14	65842304	65843165	inv14_005
17	43661775	44372665	inv17_007
21	28020653	28021711	inv21_005
X	72215927	72306774	invX_006
16	28424774	28788943	inv16_009
10	27220925	27656433	inv10_005
